Week,Day,Description,Section,Section Type,Activity,Sets,Reps
,,,,8,Push-Press,4,4
,,,,8,Pull-Ups,4,4
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,5,"Body Weight Circuit - 3 SETS | 1-15 REPS, Cardio - Run 30 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,8/12/08
,,,,8,Knees-To-Chest,3,10/15/10
,,,,8,Air-Squats,3,10/15/10
,,,,8,Pull-Ups,3,1/3/01
,,,,8,Alt-Knee-To-Elbow,3,10/15/10
,,,,8,Box-Jumps,3,8/12/08
,,,,8,Tricep-Dips,3,8/12/08
,,,,8,Crunches,3,10/15/10
,,,,8,Lunges,3,5/10/05
,,,,8,Elbow-To-Hand-Plank,3,5/6/05
,,,,8,Planks,3,20 sec/35 sec/20 sec
,,,,8,Burpees,3,6/8/06
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
3,1,"Body Weight Circuit - 3 SETS | 1-15 REPS, Cardio - Run 30 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,8/12/08
,,,,8,Knees-To-Chest,3,10/15/10
,,,,8,Air-Squats,3,10/15/10
,,,,8,Pull-Ups,3,1/3/01
,,,,8,Alt-Knee-To-Elbow,3,10/15/10
,,,,8,Box-Jumps,3,8/12/08
,,,,8,Tricep-Dips,3,8/12/08
,,,,8,Crunches,3,10/15/10
,,,,8,Lunges,3,5/10/05
,,,,8,Elbow-To-Hand-Plank,3,5/6/05
,,,,8,Planks,3,20 sec/35 sec/20 sec
,,,,8,Burpees,3,6/8/06
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,,5,Push-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,2,"Body Weight Circuit - 3 SETS | 1-15 REPS, Cardio - Run 30 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,8/12/08
,,,,8,Knees-To-Chest,3,10/15/10
,,,,8,Air-Squats,3,10/15/10
,,,,8,Pull-Ups,3,1/3/01
,,,,8,Alt-Knee-To-Elbow,3,10/15/10
,,,,8,Box-Jumps,3,8/12/08
,,,,8,Tricep-Dips,3,8/12/08
,,,,8,Crunches,3,10/15/10
,,,,8,Lunges,3,5/10/05
,,,,8,Elbow-To-Hand-Plank,3,5/6/05
,,,,8,Planks,3,20 sec/35 sec/20 sec
,,,,8,Burpees,3,6/8/06
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,3,"Cardio Circuit - 30 min - 2 SETS | 8 REPS, PFT Training",Warm Up,1,Warm-up,1,1
,,,Cardio Circuit,8,Plyometric-Jumps,2,8
,,,,8,Push-Ups,2,8
,,,,8,Mountain-Climbers,2,8
,,,,8,Crunches,2,8
,,,,8,Sprint,2,400 Meters
,,,,8,Star-Jumps,2,8
,,,,8,Pull-Ups,2,8
,,,,8,Bicycle-Crunches,2,8
,,,PFT Training,13,Ammo-Can-Sprint,3,45 sec/30 sec/20 sec
,,,,6,Crunches,3,45 sec/30 sec/20 sec
,,,,4,Pull-Ups,3,4/3/02
,,,,5,Push-Ups,3,25/20/15
,,,Cool Down,2,Cool-down,1,1
,4,"Strength Circuit - 4 SETS | 5 REPS, Cardio - 30 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Strength Circuit,8,Goblet-Squat,4,5
,,,,8,Kettlebell-Swing,4,5
,,,,8,Lunges,4,5
,,,,8,Push-Ups,4,5
,,,,8,Push-Press,4,5
,,,,8,Pull-Ups,4,5
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,5,"Body Weight Circuit - 3 SETS | 1-15 REPS, Cardio - Run 30 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,8/12/08
,,,,8,Knees-To-Chest,3,10/15/10
,,,,8,Air-Squats,3,10/15/10
,,,,8,Pull-Ups,3,1/3/01
,,,,8,Alt-Knee-To-Elbow,3,10/15/10
,,,,8,Box-Jumps,3,8/12/08
,,,,8,Tricep-Dips,3,8/12/08
,,,,8,Crunches,3,10/15/10
,,,,8,Lunges,3,5/10/05
,,,,8,Elbow-To-Hand-Plank,3,5/6/05
,,,,8,Planks,3,20 sec/35 sec/20 sec
,,,,8,Burpees,3,6/8/06
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
4,1,"Body Weight Circuit - 3 SETS | 1-15 REPS, Cardio - Run 30 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,8/12/08
,,,,8,Knees-To-Chest,3,10/15/10
,,,,8,Air-Squats,3,10/15/10
,,,,8,Pull-Ups,3,1/3/01
,,,,8,Alt-Knee-To-Elbow,3,10/15/10
,,,,8,Box-Jumps,3,8/12/08
,,,,8,Tricep-Dips,3,8/12/08
,,,,8,Crunches,3,10/15/10
,,,,8,Lunges,3,5/10/05
,,,,8,Elbow-To-Hand-Plank,3,5/6/05
,,,,8,Planks,3,20 sec/35 sec/20 sec
,,,,8,Burpees,3,6/8/06
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,,5,Push-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,2,"Body Weight Circuit - 3 SETS | 1-15 REPS, Cardio - Run 30 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,8/12/08
,,,,8,Knees-To-Chest,3,10/15/10
,,,,8,Air-Squats,3,10/15/10
,,,,8,Pull-Ups,3,1/3/01
,,,,8,Alt-Knee-To-Elbow,3,10/15/10
,,,,8,Box-Jumps,3,8/12/08
,,,,8,Tricep-Dips,3,8/12/08
,,,,8,Crunches,3,10/15/10
,,,,8,Lunges,3,5/10/05
,,,,8,Elbow-To-Hand-Plank,3,5/6/05
,,,,8,Planks,3,20 sec/35 sec/20 sec
,,,,8,Burpees,3,6/8/06
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,3,"Cardio Circuit - 30 min - 2 SETS | 10 REPS , PFT Training",Warm Up,1,Warm-up,1,1
,,,Cardio Circuit,8,Plyometric-Jumps,2,10
,,,,8,Push-Ups,2,10
,,,,8,Mountain-Climbers,2,10
,,,,8,Crunches,2,10
,,,,8,Sprint,4,400 Meters
,,,,8,Star-Jumps,2,10
,,,,8,Pull-Ups,2,10
,,,,8,Bicycle-Crunches,2,10
,,,PFT Training,13,Ammo-Can-Sprint,3,45 sec/30 sec/20 sec
,,,,6,Crunches,3,45 sec/30 sec/20 sec
,,,,4,Pull-Ups,3,4/3/02
,,,,5,Push-Ups,3,25/20/15
,,,Cool Down,2,Cool-down,1,1
,4,"Strength Circuit - 5 SETS | 3 REPS, Cardio - 30 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Strength Circuit,8,Goblet-Squat,5,3
,,,,8,Kettlebell-Swing,5,3
,,,,8,Lunges,5,3
,,,,8,Push-Ups,5,3
,,,,8,Push-Press,5,3
,,,,8,Pull-Ups,5,3
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,5,"Body Weight Circuit - 3 SETS | 1-15 REPS, Cardio - Run 30 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,8/12/08
,,,,8,Knees-To-Chest,3,10/15/10
,,,,8,Air-Squats,3,10/15/10
,,,,8,Pull-Ups,3,1/3/01
,,,,8,Alt-Knee-To-Elbow,3,10/15/10
,,,,8,Box-Jumps,3,8/12/08
,,,,8,Tricep-Dips,3,8/12/08
,,,,8,Crunches,3,10/15/10
,,,,8,Lunges,3,5/10/05
,,,,8,Elbow-To-Hand-Plank,3,5/6/05
,,,,8,Planks,3,20 sec/35 sec/20 sec
,,,,8,Burpees,3,6/8/06
,,,Cardio,9,Cardio,0,
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
5,1,"Body Weight Circuit - 3 SETS | 1-15 REPS, Cardio - Run 30 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,8/12/08
,,,,8,Knees-To-Chest,3,10/15/10
,,,,8,Air-Squats,3,10/15/10
,,,,8,Pull-Ups,3,1/3/01
,,,,8,Alt-Knee-To-Elbow,3,10/15/10
,,,,8,Box-Jumps,3,8/12/08
,,,,8,Tricep-Dips,3,8/12/08
,,,,8,Crunches,3,10/15/10
,,,,8,Lunges,3,5/10/05
,,,,8,Elbow-To-Hand-Plank,3,5/6/05
,,,,8,Planks,3,20 sec/35 sec/20 sec
,,,,8,Burpees,3,6/8/06
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,,5,Push-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,2,"Body Weight Circuit - 3 SETS | 1-15 REPS, Cardio - Run 30 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,8/12/08
,,,,8,Knees-To-Chest,3,10/15/10
,,,,8,Air-Squats,3,10/15/10
,,,,8,Pull-Ups,3,1/3/01
,,,,8,Alt-Knee-To-Elbow,3,10/15/10
,,,,8,Box-Jumps,3,8/12/08
,,,,8,Tricep-Dips,3,8/12/08
,,,,8,Crunches,3,10/15/10
,,,,8,Lunges,3,5/10/05
,,,,8,Elbow-To-Hand-Plank,3,5/6/05
,,,,8,Planks,3,20 sec/35 sec/20 sec
,,,,8,Burpees,3,6/8/06
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,3,"Cardio Circuit - 2 SETS | 12 REPS, PFT Training",Warm Up,1,Warm-up,1,1
,,,Cardio Circuit,8,Plyometric-Jumps,2,12
,,,,8,Push-Ups,2,12
,,,,8,Mountain-Climbers,2,12
,,,,8,Crunches,2,12
,,,,8,Sprint,4,400 Meters
,,,,8,Star-Jumps,2,12
,,,,8,Pull-Ups,2,12
,,,,8,Bicycle-Crunches,2,12
,,,PFT Training,13,Ammo-Can-Sprint,3,45 sec/30 sec/20 sec
,,,,6,Crunches,3,45 sec/30 sec/20 sec
,,,,4,Pull-Ups,3,4/3/02
,,,,5,Push-Ups,3,25/20/15
,,,Cool Down,2,Cool-down,1,1
,4,"Strength Circuit - 5 SETS | 4 REPS , Cardio - 30 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Strength Circuit,8,Goblet-Squat,5,4
,,,,8,Kettlebell-Swing,5,4
,,,,8,Lunges,5,4
,,,,8,Push-Ups,5,4
,,,,8,Push-Press,5,4
,,,,8,Pull-Ups,5,4
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,5,"Body Weight Circuit - 3 SETS | 1-15 REPS, Cardio - Run 30 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,8/12/08
,,,,8,Knees-To-Chest,3,10/15/10
,,,,8,Air-Squats,3,10/15/10
,,,,8,Pull-Ups,3,1/3/01
,,,,8,Alt-Knee-To-Elbow,3,10/15/10
,,,,8,Box-Jumps,3,8/12/08
,,,,8,Tricep-Dips,3,8/12/08
,,,,8,Crunches,3,10/15/10
,,,,8,Lunges,3,5/10/05
,,,,8,Elbow-To-Hand-Plank,3,5/6/05
,,,,8,Planks,3,20 sec/35 sec/20 sec
,,,,8,Burpees,3,6/8/06
,,,Cardio,9,Cardio,0,
,,,PFT Training,4,Pull-Ups,3,-1
